,Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,Lagoa,39.05,-27.9833,14.49,76,100,5.17,PT,1616301949
356,Margate,51.3813,1.3862,7.22,85,84,1.79,GB,1616301949
357,Kahului,20.8947,-156.47,23.0,78,40,6.17,US,1616301950
358,Kulhudhuffushi,6.6221,73.07,28.65,65,86,3.12,MV,1616301950
359,Peddāpuram,17.0833,82.1333,29.0,61,0,5.14,IN,1616301951
360,Sai Buri,6.7013,101.6168,30.0,70,20,4.63,TH,1616301951
361,Kilindoni,-7.9139,39.6668,27.17,78,10,2.38,TZ,1616301951
362,Chapais,49.7834,-74.8492,2.0,51,1,4.12,CA,1616301952
363,Jinxiang,27.4327,120.6062,12.28,79,99,4.97,CN,1616301953
364,Mbandaka,0.0487,18.2603,20.92,96,100,1.55,CD,1616301953
365,Caravelas,-17.7125,-39.2481,23.89,91,62,2.36,BR,1616301953
366,Iqaluit,63.7506,-68.5145,-27.78,69,1,3.09,CA,1616301954
367,Esperance,-33.8667,121.9,30.0,26,0,2.57,AU,1616301954
368,La Macarena,2.1837,-73.7849,23.02,83,67,1.37,CO,1616301955
369,Chara,56.9064,118.2631,-5.92,59,62,4.4,RU,1616301955
370,Muravlenko,63.7898,74.523,-12.48,94,100,5.77,RU,1616301956
371,Fort Frances,48.5999,-93.4003,10.0,40,1,3.09,CA,1616301718
372,San Felipe,10.3399,-68.7425,21.28,93,97,2.16,VE,1616301957
373,Pacific Grove,36.6177,-121.9166,10.56,82,15,3.58,US,1616301686
374,Waipawa,-41.4122,175.5153,19.44,67,60,6.69,NZ,1616301957
375,Henties Bay,-22.116,14.2845,16.11,90,27,1.34,NA,1616301958
376,Rengo,-34.4167,-70.8667,15.0,63,1,1.03,CL,1616301958
377,Xi'an,34.2583,108.9286,12.22,32,0,4.0,CN,1616301959
378,Nhulunbuy,-12.2333,136.7667,30.0,70,40,6.69,AU,1616301959
379,Ipiaú,-14.1372,-39.7339,20.71,98,51,0.84,BR,1616301959
380,Ust'-Koksa,50.2696,85.6108,2.28,72,88,0.37,RU,1616301960
381,Garoowe,8.4054,48.4845,21.13,70,8,5.29,SO,1616301960
382,Eagle,43.6954,-116.354,5.56,48,40,3.09,US,1616301961
383,Erzin,36.9559,36.2,8.0,100,0,1.03,TR,1616301961
384,Omsukchan,62.5333,155.8,-14.54,76,0,1.75,RU,1616301962
385,The Valley,18.217,-63.0578,25.0,69,20,5.14,AI,1616301962
386,Vícar,36.8316,-2.6427,7.78,57,0,1.54,ES,1616301963
387,Plettenberg Bay,-34.0527,23.3716,15.38,87,20,1.26,ZA,1616301963
388,Basco,20.4487,121.9702,25.55,81,2,8.13,PH,1616301963
389,Batticaloa,7.7102,81.6924,29.02,72,80,3.52,LK,1616301964
390,Moree,-29.4667,149.85,31.0,45,40,3.6,AU,1616301964
391,Huarmey,-10.0681,-78.1522,21.92,78,100,2.77,PE,1616301965
392,Anadyr,64.75,177.4833,-20.0,71,40,5.0,RU,1616301965
393,Alofi,-19.0595,-169.9187,26.0,83,100,3.09,NU,1616301965
394,Vila Velha,-20.3297,-40.2925,26.67,94,75,1.03,BR,1616301966
395,Saldanha,-33.0117,17.9442,13.0,76,0,1.54,ZA,1616301966
396,Namatanai,-3.6667,152.4333,30.32,64,65,3.76,PG,1616301967
397,Hong Kong,22.2855,114.1577,22.22,75,97,0.89,HK,1616301685
398,San Andrés,12.5847,-81.7006,26.0,89,40,4.63,CO,1616301967
399,‘Āhuimanu,21.4447,-157.8378,24.0,78,75,6.17,US,1616301968
400,Avera,33.194,-82.5271,10.0,71,90,6.69,US,1616301968
401,Tchaourou,8.8865,2.5975,24.92,75,100,2.25,BJ,1616301968
402,Tuyen Quang,21.8233,105.2181,19.11,76,100,3.08,VN,1616301969
403,Sernur,56.9333,49.1536,-9.06,93,38,5.0,RU,1616301969
404,Huilong,31.8111,121.655,16.11,61,83,1.79,CN,1616301970
405,Tutóia,-2.7619,-42.2744,23.88,85,2,1.28,BR,1616301970
406,Pinega,64.7001,43.3936,-8.2,91,99,4.42,RU,1616301970
407,Oddur,4.1213,43.8894,24.47,74,75,8.14,SO,1616301971
408,Kasongo-Lunda,-6.4667,16.8167,21.0,98,100,0.22,CD,1616301972
409,Ketchikan,55.3422,-131.6461,1.0,100,90,7.2,US,1616301972
410,Porto-Novo,6.4965,2.6036,28.0,78,20,5.14,BJ,1616301972
411,Hernani,43.2662,-1.9762,8.89,87,0,1.54,ES,1616301973
412,Carballo,43.213,-8.691,7.22,70,0,1.54,ES,1616301973
413,Biltine,14.5333,20.9167,27.4,14,7,5.97,TD,1616301974
414,Laguna,38.421,-121.4238,10.56,53,1,1.09,US,1616301974
415,Ruteng,-8.6136,120.4721,22.61,80,100,1.65,ID,1616301975
416,Nazca,-14.8333,-74.95,21.52,72,12,1.11,PE,1616301975
417,Makarov,48.6333,142.8,-1.88,78,78,6.22,RU,1616301976
418,Puri,19.8,85.85,35.0,26,40,4.63,IN,1616301684
419,Suba,10.8438,121.0102,28.88,77,81,6.74,PH,1616301976
420,Nabire,-3.3667,135.4833,25.98,83,100,1.7,ID,1616301977
421,Cambuí,-22.6122,-46.0575,18.89,85,3,0.77,BR,1616301977
422,Mana,5.6592,-53.7767,24.07,88,5,2.72,GF,1616301977
423,Kargil,34.5667,76.1,-5.09,58,90,0.86,IN,1616301978
424,Fort Nelson,58.8053,-122.7002,-9.0,79,90,1.03,CA,1616301978
425,Paraná,-31.732,-60.5238,18.89,96,50,2.71,AR,1616301979
426,Jiujiang,29.7333,115.9833,16.33,44,66,4.56,CN,1616301979
427,Conakry,9.538,-13.6773,24.85,74,92,3.51,GN,1616301980
428,Bilma,18.6853,12.9164,27.46,11,73,5.24,NE,1616301980
429,Karratha,-20.7377,116.8463,31.85,35,0,7.49,AU,1616301981
430,Pakokku,21.3333,95.1,35.71,18,67,0.42,MM,1616301981
431,Mwingi,-0.9344,38.0601,21.07,77,63,1.29,KE,1616301981
432,Westport,41.1415,-73.3579,4.44,70,1,1.54,US,1616301982
433,Hamburg,53.55,10.0,6.0,93,75,7.2,DE,1616301452
434,Bonavista,48.6499,-53.1147,-5.56,79,51,4.12,CA,1616301983
435,Moussoro,13.6408,16.4901,27.72,14,38,4.66,TD,1616301983
436,Manado,1.487,124.8455,31.0,70,40,3.6,ID,1616301743
437,Saint-François,46.4154,3.9054,-0.56,93,1,1.86,FR,1616301984
438,Petropavlovsk-Kamchatskiy,53.0452,158.6483,0.0,34,0,4.0,RU,1616301985
439,Baykit,61.67,96.37,-21.57,93,100,5.07,RU,1616301985
440,Gorontalo,0.5412,123.0595,31.27,69,55,1.44,ID,1616301986
441,Aden,12.7794,45.0367,25.95,60,82,2.98,YE,1616301943
442,Kizema,61.113,44.8302,-11.29,92,97,3.75,RU,1616301986
443,Ancud,-41.8697,-73.8203,8.33,93,0,2.06,CL,1616301987
444,Ambovombe,-25.1667,46.0833,26.03,65,0,2.02,MG,1616301987
445,Khasan,42.4308,130.6434,1.71,96,100,1.3,RU,1616301988
446,Yalta,44.5,34.1667,2.22,60,100,1.61,UA,1616301988
447,Alpena,45.0617,-83.4327,4.44,45,1,3.09,US,1616301989
448,Bintulu,3.1667,113.0333,30.0,74,40,2.57,MY,1616301989
449,Dunedin,-45.8742,170.5036,13.89,79,93,2.68,NZ,1616301990
450,Acarí,-15.4311,-74.6158,22.25,81,12,1.31,PE,1616301990
451,Nantucket,41.2835,-70.0995,2.22,75,0,3.97,US,1616301990
452,Camacha,33.0833,-16.3333,15.0,67,75,7.2,PT,1616301991
453,Guerrero Negro,27.9769,-114.0611,15.8,80,0,7.31,MX,1616301991
454,Lompoc,34.6391,-120.4579,11.0,71,1,4.63,US,1616301806
455,Fayaoué,-20.65,166.5333,26.21,76,35,9.48,NC,1616301992
456,Port Pirie,-33.1833,138.0167,29.0,45,93,2.57,AU,1616301993
457,Byron Bay,-28.65,153.6167,22.0,94,90,7.72,AU,1616301993
458,Aktash,50.3,87.7333,-2.91,66,91,2.53,RU,1616301993
459,Bloomingdale,27.8936,-82.2404,12.78,82,40,2.57,US,1616301994
460,Lebyazh'ye,55.2689,66.4947,-5.54,93,56,4.17,RU,1616301994
461,Riverton,40.5219,-111.9391,3.33,100,90,2.57,US,1616301995
462,San Ramon,37.7799,-121.978,9.44,71,1,1.54,US,1616301895
463,Ixtapa,20.7,-105.2,20.56,94,1,1.24,MX,1616301995
464,Pangnirtung,66.1451,-65.7125,-28.03,92,9,0.85,CA,1616301996
465,Pierre,44.3683,-100.351,12.22,58,1,4.12,US,1616301840
466,Hastings,50.8552,0.5729,7.78,74,41,1.79,GB,1616301996
467,Baoqing,46.3317,132.2111,2.26,94,100,3.8,CN,1616301997
468,Rāmānuj Ganj,23.8,83.7,34.64,13,0,3.83,IN,1616301997
469,Luena,-11.7833,19.9167,16.35,97,100,0.95,AO,1616301997
470,Buraidah,26.326,43.975,15.0,58,0,4.46,SA,1616301998
471,Mingora,34.7758,72.3625,17.33,58,100,2.71,PK,1616301998
472,General Pico,-35.6566,-63.7568,13.89,38,0,3.15,AR,1616301999
473,Centenário do Sul,-22.8211,-51.5953,21.49,89,32,2.29,BR,1616301999
474,Skellefteå,64.7507,20.9528,1.67,60,90,9.26,SE,1616301999
475,Lensk,60.7253,114.9278,-22.75,82,93,6.78,RU,1616302000
476,Conceição do Araguaia,-8.2578,-49.2647,22.39,88,80,0.7,BR,1616302000
477,Clarence Town,-32.5833,151.7833,20.0,100,90,6.69,AU,1616302001
478,Manitouwadge,49.1215,-85.8403,3.28,67,0,6.03,CA,1616302001
479,Marrakesh,31.6315,-8.0083,6.0,93,40,1.03,MA,1616302001
480,Kasamwa,-2.85,32.4333,19.76,78,66,1.75,TZ,1616302002
481,Kruisfontein,-34.0033,24.7314,16.67,87,2,1.79,ZA,1616302002
482,Zyryanka,65.75,150.85,-14.34,77,20,4.74,RU,1616302002
483,Iranshahr,27.2025,60.6848,23.0,27,0,1.12,IR,1616302003
484,Córdoba,-31.4135,-64.1811,15.56,82,0,3.09,AR,1616301864
485,Rūdbār,30.15,62.6,19.9,32,9,2.86,AF,1616302003
486,Buala,-8.145,159.5921,25.63,90,100,2.61,SB,1616302004
487,Genhe,50.7833,121.5167,-3.15,71,60,4.21,CN,1616301919
488,Emerald,-23.5333,148.1667,31.0,58,75,6.17,AU,1616302005
489,Cam Ranh,11.9214,109.1591,30.0,66,20,5.66,VN,1616302005
490,Lavrentiya,65.5833,-171.0,-18.03,84,100,4.72,RU,1616302006
491,Berlevåg,70.8578,29.0864,-0.46,74,100,9.73,NO,1616302006
492,Kimbe,-5.5502,150.1429,29.23,78,76,1.8,PG,1616302006
493,Saint-Joseph,-21.3667,55.6167,28.0,69,24,2.06,RE,1616302007
494,Palekastro,35.2,26.25,15.0,79,0,7.09,GR,1616302008
495,Havøysund,70.9963,24.6622,-1.0,64,40,3.6,NO,1616302008
496,Dingcheng,32.1272,115.0394,13.0,37,97,5.44,CN,1616302008
497,Worthington,40.0931,-83.018,7.0,36,1,2.06,US,1616302009
498,Lashio,22.9333,97.75,34.65,13,49,1.84,MM,1616302009
499,Ust'-Ishim,57.6935,71.1665,-3.08,88,99,5.04,RU,1616302009
500,Santa Maria,-29.6842,-53.8069,21.54,97,100,0.74,BR,1616302010
501,Lidköping,58.5052,13.1577,3.0,60,0,4.63,SE,1616302010
502,Juneau,58.3019,-134.4197,0.0,80,90,5.66,US,1616301912
503,Bichena,10.45,38.2,14.49,23,39,1.56,ET,1616302011
504,Arlit,18.7369,7.3853,26.22,8,36,3.88,NE,1616302012
505,Tolaga Bay,-38.3667,178.3,16.64,75,70,6.68,NZ,1616302012
506,Janakpur Dham,26.7183,85.9065,33.68,14,0,4.66,NP,1616302012
507,Vestmannaeyjar,63.4427,-20.2734,6.78,85,100,6.09,IS,1616302013
508,Redmond,47.674,-122.1215,5.56,92,88,1.17,US,1616301947
509,Tautira,-17.7333,-149.15,29.0,74,20,4.63,PF,1616302013
510,Quelimane,-17.8786,36.8883,25.0,88,40,0.49,MZ,1616302014
511,Gao,16.6362,1.637,25.08,16,95,3.38,ML,1616302014
512,Porto Belo,-27.1578,-48.5531,27.78,98,45,3.08,BR,1616302015
513,Tucuruí,-3.7661,-49.6725,22.5,96,92,0.39,BR,1616302015
514,Polonnaruwa,7.9333,81.0,30.28,66,85,2.38,LK,1616302016
515,Sakaiminato,35.55,133.2333,11.0,93,75,2.06,JP,1616302016
516,Zhigalovo,54.8097,105.1578,2.22,83,99,1.58,RU,1616302017
517,Manhattan,40.7834,-73.9662,9.0,40,1,1.72,US,1616301795
518,Atbasar,51.8,68.3333,-2.15,89,100,8.96,KZ,1616302017
519,Kaeo,-35.1,173.7833,19.44,62,99,2.68,NZ,1616302018
520,Hay River,60.8156,-115.7999,-15.0,66,81,5.14,CA,1616301737
521,Quesnel,52.9999,-122.5029,0.0,64,90,1.54,CA,1616302018
522,Sfântu Gheorghe,45.8667,25.7833,-3.89,86,70,1.04,RO,1616302019
523,Raja,8.4596,25.678,24.53,75,100,1.72,SS,1616302019
524,Verkhnetulomskiy,68.6073,31.7962,-7.0,93,40,1.0,RU,1616302020
525,San Patricio,28.017,-97.5169,14.0,66,1,4.12,US,1616302020
526,Saryg-Sep,51.5,95.6,-0.34,57,84,0.11,RU,1616302021
527,Le Port,-20.9373,55.2919,29.0,61,0,8.23,RE,1616301974
528,Half Moon Bay,37.4636,-122.4286,11.0,81,75,6.17,US,1616302021
529,Luau,-10.7073,22.2247,17.57,96,94,0.6,AO,1616302022
530,Juruti,-2.1522,-56.0922,23.47,91,76,1.11,BR,1616302022
531,Curup,-3.4667,102.5333,27.13,81,88,0.47,ID,1616302023
532,Bāglung,28.2719,83.5898,27.79,17,0,2.51,NP,1616302023
533,Muli,2.9167,73.5667,28.18,69,83,3.21,MV,1616302023
534,Chumikan,54.7183,135.315,-4.5,84,39,2.72,RU,1616302024
535,Tuy Hoa,13.0833,109.3,28.91,69,86,4.14,VN,1616302024
536,Kaina,12.6374,8.5873,27.0,54,0,4.63,NG,1616302025
537,Kayerkan,69.3497,87.7602,-25.16,68,37,3.44,RU,1616302025
538,Antsohihy,-14.8796,47.9875,24.84,85,1,1.45,MG,1616302026
539,Ürümqi,43.801,87.6005,0.0,74,0,5.0,CN,1616302026
540,Kenora,49.8167,-94.4337,9.0,57,75,6.69,CA,1616301811
541,Susurluk,39.9136,28.1578,8.89,100,75,1.58,TR,1616302027
542,Kamloops,50.6665,-120.3192,9.0,46,90,1.03,CA,1616302027
543,Pimentel,-6.8367,-79.9342,21.67,84,66,1.79,PE,1616302028
544,Birjand,32.8663,59.2211,9.0,20,0,6.17,IR,1616302028
545,Saint-Paul,-21.0096,55.2707,29.0,61,0,8.23,RE,1616302029
546,Hokitika,-42.7167,170.9667,16.12,77,4,2.09,NZ,1616302029
547,University City,38.6559,-90.3093,10.0,66,1,3.6,US,1616302030
548,Roald,62.5833,6.1333,2.0,80,90,8.75,NO,1616302030
549,Bulgan,48.8125,103.5347,0.96,36,0,2.59,MN,1616302031
550,Port-Gentil,-0.7193,8.7815,26.5,75,100,1.61,GA,1616302031
551,Alta Floresta,-9.8756,-56.0861,21.58,97,100,1.13,BR,1616302032
552,Recea Cristur,47.0667,23.5333,-5.0,93,0,0.71,RO,1616302032
553,Ngunguru,-35.6167,174.5,19.44,62,98,2.68,NZ,1616302032
554,Camacupa,-12.0167,17.4833,15.82,97,100,1.43,AO,1616302033
555,Sabha,27.0377,14.4283,19.96,11,7,6.05,LY,1616302033
556,Abu Samrah,35.3029,37.1841,12.23,59,0,3.12,SY,1616302034
557,Cordele,31.9635,-83.7824,10.56,61,40,2.06,US,1616302034
558,Vryburg,-26.9566,24.7284,16.07,80,98,1.57,ZA,1616302034
559,Cootamundra,-34.65,148.0333,21.24,61,100,9.37,AU,1616302035
560,Santo Domingo,18.5001,-69.9886,24.44,88,20,2.06,DO,1616301805
561,Wanning,18.8003,110.3967,27.06,69,51,5.41,CN,1616302035
562,Qurayyat,31.3318,37.3428,10.0,53,0,5.14,SA,1616302036
563,Mountain Home,43.133,-115.6912,4.0,48,1,6.69,US,1616302036
564,Al Bardīyah,31.7561,25.0865,16.85,74,0,5.59,LY,1616302036
565,Mount Gambier,-37.8333,140.7667,21.0,68,90,7.2,AU,1616302037
566,Uvarovka,55.5278,35.6061,-6.21,80,78,5.1,RU,1616302037
567,Nelson Bay,-32.7167,152.15,20.0,100,90,6.69,AU,1616302038
568,Los Llanos de Aridane,28.6585,-17.9182,17.0,77,75,7.72,ES,1616302038
569,Portland,45.5234,-122.6762,7.22,78,65,0.45,US,1616301861
570,Bandarbeyla,9.4942,50.8122,26.43,65,17,4.39,SO,1616302039
571,Caucayá,-0.1934,-74.7819,23.78,83,92,1.38,CO,1616302039
572,Omboué,-1.5746,9.2618,24.36,87,100,0.59,GA,1616302040
573,Celestún,20.8667,-90.4,20.23,72,24,4.86,MX,1616302040
574,Kamenka,51.3223,42.7678,-5.28,95,95,1.67,RU,1616302040
575,Tiarei,-17.5333,-149.3333,29.0,74,20,4.63,PF,1616302041
576,College,64.8569,-147.8028,-9.0,48,1,5.14,US,1616302041
577,Proletarskiy,50.7914,35.7731,-3.0,93,0,3.0,RU,1616302042
578,Šibenik,43.7272,15.9058,6.0,42,0,10.29,HR,1616302042
579,Necochea,-38.5473,-58.7368,16.11,79,0,2.68,AR,1616302042
580,Concarneau,47.875,-3.9225,8.0,87,90,1.54,FR,1616302043
581,Northam,51.0333,-4.2167,8.89,92,72,2.24,GB,1616302043
582,Yarmouth,41.7057,-70.2286,3.0,80,1,3.09,US,1616302044
583,Hualmay,-11.0964,-77.6139,21.48,78,99,3.39,PE,1616302044
584,La Ronge,55.1001,-105.2842,5.0,48,43,2.06,CA,1616302045
